"Campaign","Campaign Type","Budget","Ad Group","Max CPC","Criterion Type","Keyword","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Headline 13","Headline 14","Headline 15","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2","Final URL"
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","virtuelle empfangsdame telefon","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","ki telefonannahme","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","automatische telefonannahme","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","telefon ki agent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","ki callcenter agent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","","","","Virtuelle Telefonistin","KI-Anrufbeantworter","Kein Anruf mehr verpasst","Ab CHF 350/Monat","24/7 DE-EN-FR-IT","Live testen","Nie wieder besetzt","KI nimmt Ihre Anrufe an","Termine automatisch buchen","Immer erreichbar, 24/7","Telefon nie mehr besetzt","Anrufe rund um die Uhr","Für Schweizer KMU","Übergabe an Ihr Team","Automatische Telefonannahme","Die virtuelle Telefonistin nimmt jeden Anruf an, bucht Termine und erfasst Ihre Leads.","Kein verpasster Anruf mehr: 24/7 auf Deutsch, Englisch, Französisch und Italienisch.","Live testen unter +41 56 539 18 67 und die KI selbst am Telefon erleben.","Ab CHF 350 pro Monat. Übergabe an Ihr Team und Zusammenfassung per WhatsApp oder E-Mail.","Telefonistin","KI-Telefon","https://weissmann.ai/ki-telefonassistent/"
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai receptionist","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Exact","ai receptionist","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai receptionist switzerland","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai phone answering service","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai phone agent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","virtual receptionist switzerland","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai call answering","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai answering service","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","automated phone answering business","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai voice agent phone","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai phone assistant","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","24/7 call answering service","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","ai receptionist for business","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","3.00","Phrase","virtual phone receptionist","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG3 - AI Receptionist Schweiz EN","","","","AI Receptionist Schweiz","Never Miss a Call","From CHF 350/Month","24/7 DE-EN-FR-IT","Try It Live","24/7 Call Answering","Books Appointments 24/7","Swiss AI Phone Agent","AI Answers Your Calls","Qualifies Your Leads","Human Handover Ready","Multilingual AI Phone","For Swiss SMEs","Never Busy Again","AI Phone Assistant","Our AI answers your business calls 24/7, books appointments and qualifies every lead.","Never miss a call again. Answers in German, English, French and Italian, 24/7.","Try it live on +41 56 539 18 67 and hear the AI receptionist for yourself.","From CHF 350/month. Handover to your team plus a summary via WhatsApp or email.","AI-Phone","Schweiz","https://weissmann.ai/en/ki-telefonassistent/"
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","telefonassistent arztpraxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","ki telefon arztpraxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","telefonannahme arztpraxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","anrufbeantworter arztpraxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","telefonservice arztpraxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","praxis telefon entlastung","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","ki telefonassistent praxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Exact","ki telefonassistent praxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","telefonservice zahnarztpraxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","virtuelle telefonistin praxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","terminvereinbarung telefon ki","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","telefon entlastung praxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","anrufannahme arztpraxis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","3.00","Phrase","ki telefon für praxen","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG4 - Praxis Arztpraxis","","","","KI-Telefon für Praxen","Kein Anruf mehr verpasst","Ab CHF 350/Monat","24/7 DE-EN-FR-IT","Live testen","Entlasten Sie Ihr Team","Termine automatisch buchen","Praxis immer erreichbar","KI nimmt Anrufe an","Nie wieder besetzt","Weniger Telefonstress","24/7 erreichbar","Für Schweizer Praxen","Mehr Zeit für Patienten","Terminbuchung per Telefon","Ihre Praxis ist immer erreichbar: Die KI nimmt Anrufe an und bucht Termine automatisch.","Entlasten Sie Ihr Praxisteam. Kein verpasster Anruf mehr, 24/7 auf vier Sprachen.","Live testen unter +41 56 539 18 67 und die KI selbst am Telefon erleben.","Ab CHF 350 pro Monat. Übergabe an Ihr Team und Zusammenfassung per WhatsApp oder E-Mail.","Praxis","KI-Telefon","https://weissmann.ai/branchen/gesundheitswesen/"
